Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10863","","","None","127.0.0.1","tcp","8834","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Organization: Nessus Users United
Organization Unit: Nessus Server
Locality: New York
Country: US
State/Province: NY
Common Name: kali

Issuer Name: 

Organization: Nessus Users United
Organization Unit: Nessus Certification Authority
Locality: New York
Country: US
State/Province: NY
Common Name: Nessus Certification Authority

Serial Number: 29 86 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Oct 05 14:23:24 2022 GMT
Not Valid After: Oct 04 14:23:24 2026 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 D5 2C FF 56 D9 78 21 F8 46 57 B5 60 D3 89 3F F0 A5 18 D5 
            43 73 55 3D 94 AD EC C4 B5 57 22 5C 26 5B 6F C8 A8 E9 5A 25 
            45 70 BF 2F EC BA A3 10 E8 1D 6F 23 FB 81 2B 5F 41 3B B9 F4 
            BD 52 48 E2 75 D1 64 AE DB 9B 49 63 A6 2F 35 EC 70 5C 0A D8 
            31 62 DF 6E CF 70 D0 14 1A 83 D1 6F 3E 68 1A 1C 89 42 EC 89 
            21 20 D4 20 97 16 A4 CD 28 BB 22 B8 40 34 1E F1 6F 76 B6 73 
            9C AD B9 CC 9F E2 62 DC 43 5A FC 27 72 95 CB 5B CA 80 8A D1 
            95 ED 1D 2C 05 E2 09 78 D7 A3 48 EA F8 11 D5 6A CA B9 B1 C3 
            FA D7 07 61 83 4A 0D A1 DC 66 54 FD FB 34 B8 23 7A 7C 27 ED 
            94 A8 05 1A 85 5B DB 16 FE 92 CD 6E D1 6E 7D 1D 7E 62 A9 93 
            A1 74 E3 44 3C 65 98 41 FB E5 EC 83 CA AC E4 78 7E 77 E2 6F 
            54 F2 14 49 FC D9 45 EA 9D 59 99 16 BD 92 79 6A FA 71 FA C6 
            42 95 6E 28 BC 2A 35 4C AA DF 88 F9 BD A8 C6 A6 A3 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 86 E6 1F 90 DC 69 23 53 67 65 A8 C6 5F 55 2F D4 2A 51 4A 
           B7 1F C7 2E 48 AD B9 3B F3 16 D8 79 CB FD 04 E0 C4 AC 59 66 
           05 94 4E EC 97 03 59 AC CB FB 79 C5 12 49 62 AB 09 86 E4 60 
           11 A5 15 8A D2 61 92 4A 12 71 03 FD 53 C8 C9 C7 59 5E 17 73 
           F3 0E DF 73 2C C4 84 DD EC 3B 94 F2 D6 2E 59 4C 8E 1C EF D9 
           7D 5B 9D 90 2D 6E 5D A1 63 90 B2 8E FA E6 76 4B B7 57 F8 FB 
           54 E1 F2 E4 9B 63 0A FD A8 C5 06 65 A6 BA BB BB 2C B7 38 43 
           06 19 78 C3 9A 79 7F 5C 96 F9 E2 6D 2A E8 6C 4F 10 6C 28 64 
           66 9F A5 60 3F 7D 20 83 36 1D C6 19 58 41 3E BB 63 5F 79 7A 
           C8 B9 6F E2 1F 11 D4 52 E3 B8 F6 F5 5A 09 DB CE 13 94 29 40 
           8B 9C 96 9A 65 B5 FB 60 CA E2 9A B7 B9 D5 42 CB 09 82 43 97 
           3A 89 D7 10 AC 6D A2 46 65 54 59 39 BF 86 0E 94 4C 2D 08 DA 
           3F CB 58 41 7F A6 4C E0 9A 96 8C CD C8 FB 95 A1 21 

Extension: 2.16.840.1.113730.1.1
Critical: 0
Data: 03 02 06 40 


Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Non Repudiation, Key Encipherment


Fingerprints : 

SHA-256 Fingerprint: F6 0B 22 49 E4 4F F2 F8 75 1E 2A BA DA 5B 28 6D 12 E7 29 B8 
                     17 D3 CF 46 B1 0A 80 F2 C1 68 70 01 
SHA-1 Fingerprint: 98 42 42 3D ED D8 BB 2C 3F DF 68 1D E4 D4 63 79 08 42 03 2F 
MD5 Fingerprint: 04 49 D6 EE A0 5E EB FD AC BE 03 5F A8 A2 85 23 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIDsTCCApmgAwIBAgICKYYwDQYJKoZIhvcNAQELBQAwgZ0xHDAaBgNVBAoME05lc3N1cyBVc2VycyBVbml0ZWQxJzAlBgNVBAsMHk5lc3N1cyBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTERMA8GA1UEBwwITmV3IFlvcmsxCzAJBgNVBAYTAlVTMQswCQYDVQQIDAJOWTEnMCUGA1UEAwweTmVzc3VzIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MB4XDTIyMTAwNTE0MjMyNFoXDTI2MTAwNDE0MjMyNFowcjEcMBoGA1UECgwTTmVzc3VzIFVzZXJzIFVuaXRlZDEWMBQGA1UECwwNTmVzc3VzIFNlcnZlcjERMA8GA1UEBwwITmV3IFlvcmsxCzAJBgNVBAYTAlVTMQswCQYDVQQIDAJOWTENMAsGA1UEAwwEa2FsaTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANUs/1bZeCH4Rle1YNOJP/ClGNVDc1U9lK3sxLVXIlwmW2/IqOlaJUVwvy/suqMQ6B1vI/uBK19BO7n0vVJI4nXRZK7bm0ljpi817HBcCtgxYt9uz3DQFBqD0W8+aBociULsiSEg1CCXFqTNKLsiuEA0HvFvdrZznK25zJ/iYtxDWvwncpXLW8qAitGV7R0sBeIJeNejSOr4EdVqyrmxw/rXB2GDSg2h3GZU/fs0uCN6fCftlKgFGoVb2xb+ks1u0W59HX5iqZOhdONEPGWYQfvl7IPKrOR4fnfib1TyFEn82UXqnVmZFr2SeWr6cfrGQpVuKLwqNUyq34j5vajGpqMCAwEAAaMlMCMwEQYJYIZIAYb4QgEBBAQDAgZAMA4GA1UdDwEB/wQEAwIF4DANBgkqhkiG9w0BAQsFAAOCAQEAhuYfkNxpI1NnZajGX1Uv1CpRSrcfxy5Irbk78xbYecv9BODErFlmBZRO7JcDWazL+3nFEkliqwmG5GARpRWK0mGSShJxA/1TyMnHWV4Xc/MO33MsxITd7DuU8tYuWUyOHO/ZfVudkC1uXaFjkLKO+uZ2S7dX+PtU4fLkm2MK/ajFBmWmuru7LLc4QwYZeMOaeX9clvnibSrobE8QbChkZp+lYD99IIM2HcYZWEE+u2NfeXrIuW/iHxHUUuO49vVaCdvOE5QpQIuclppltftgyuKat7nVQssJgkOXOonXEKxtokZlVFk5v4YOlEwtCNo/y1hBf6ZM4JqWjM3I+5WhIQ==
-----END CERTIFICATE-----"
"10881","","","None","127.0.0.1","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
"
"11305","","","None","127.0.0.1","tcp","3128","HTTP Proxy Open gopher:// Request Relaying","The HTTP proxy accepts gopher:// requests.","Gopher is an old network protocol which predates HTTP and is nearly 
unused today. As a result, gopher-compatible software is generally 
less audited and more likely to contain security bugs than others.

By making gopher requests, an attacker may evade your firewall settings,
by making connections to port 70, or may even exploit arcane flaws in 
this protocol to gain more privileges on this host.","Reconfigure your proxy so that it refuses gopher requests.","",""
"11936","","","None","127.0.0.1","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 5.18.0-kali5-amd64
Confidence level : 99
Method : uname

 
The remote host is running Linux Kernel 5.18.0-kali5-amd64"
"12053","","","None","127.0.0.1","tcp","0","Host Fully Qualified Domain Name (FQDN) Resolution","It was possible to resolve the name of the remote host.","Nessus was able to resolve the fully qualified domain name (FQDN) of
the remote host.","n/a","","
127.0.0.1 resolves as localhost.
"
"14272","","","None","127.0.0.1","tcp","22","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 22/tcp was found to be open"
"14272","","","None","127.0.0.1","tcp","3128","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 3128/tcp was found to be open"
"14272","","","None","127.0.0.1","tcp","5432","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 5432/tcp was found to be open"
"14272","","","None","127.0.0.1","tcp","5901","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 5901/tcp was found to be open"
"14272","","","None","127.0.0.1","tcp","8834","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 8834/tcp was found to be open"
"14272","","","None","127.0.0.1","udp","37689","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 37689/udp was found to be open"
"14272","","","None","127.0.0.1","udp","50888","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 50888/udp was found to be open"
"19288","","","None","127.0.0.1","tcp","5901","VNC Server Security Type Detection","A VNC server is running on the remote host.","This script checks the remote VNC server protocol version and the
available 'security types'.","n/a","","
The remote VNC server supports the following security types :\n\n  2 (VNC authentication)
  16 (Tight)
"
"19506","","","None","127.0.0.1","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.3.0
Nessus build : 20080
Plugin feed version : 202210091318
Scanner edition used : Nessus Home
Scanner OS : LINUX
Scanner distribution : debian9-x86-64
Scan type : Normal
Scan name : Stone_NVA_Nessus_Policy
Scan policy used : Stone_NVA_Nessus_Policy
Scanner IP : 127.0.0.1
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : yes (on the localhost)
Attempt Least Privilege : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin launched)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 4
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Scan Start Date : 2022/10/9 10:50 EDT
Scan duration : 1117 sec
"
